C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,23,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,26,	Always check the return of one of the navigation method (next;previous;first;last) of a ResultSet.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,26,	Ensure that resources like this ResultSet object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,37,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,38,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,51,	Ensure that resources like this Connection object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,52,	Ensure that resources like this PreparedStatement object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantDao.java,53,	Ensure that resources like this ResultSet object are closed after use
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantLogin.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantLogin.java,25,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantLogin.java,84,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantSection.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantSection.java,21,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AccountantSection.java,90,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddAccountant.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddAccountant.java,25,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddAccountant.java,109,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddStudent.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddStudent.java,19,	Avoid unused imports such as 'javax.swing.JTextPane'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddStudent.java,26,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AddStudent.java,161,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminLogin.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminLogin.java,19,	Avoid unused imports such as 'javax.swing.LayoutStyle.ComponentPlacement'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminLogin.java,25,	Perhaps 'contentPane' could be replaced by a local variable.
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminLogin.java,74,	Position literals first in String comparisons
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminLogin.java,74,	Position literals first in String comparisons
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminLogin.java,84,	The local variable name 'gl_contentPane' doesn't match '[a-z][a-zA-Z0-9]*'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminSection.java,3,	Avoid unused imports such as 'java.awt.BorderLayout'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminSection.java,9,	Avoid unused imports such as 'javax.swing.JTable'
C:\Users\320052125\casestudy2\Analyser\feereport\src\com\javatpoint\feereport\AdminSection.java,18,	Avoid unused imports such as 'java.util.List'
